Team,Season,W,L,P,P%,RW,ROW,GF,GA,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,PS W%
Pittsburgh Penguins,20172018,47,29,100,0.61,33,45,270,248,26.1,80.0,25.0,82.3,34.4,31.1,50.3,0.07142857142857142
San Jose Sharks,20172018,45,27,100,0.61,35,40,247,226,20.6,84.8,19.5,88.4,33.0,30.3,51.3,0.07142857142857142
Philadelphia Flyers,20172018,42,26,98,0.598,31,40,249,236,20.7,75.8,16.9,77.1,32.1,29.9,53.3,0.023809523809523808
Los Angeles Kings,20172018,45,29,98,0.598,34,43,237,202,20.4,85.0,18.8,86.9,31.0,30.9,49.7,0.0
Columbus Blue Jackets,20172018,45,30,97,0.591,30,39,236,226,17.2,76.2,14.1,78.0,33.7,31.3,48.4,0.023809523809523808
New Jersey Devils,20172018,44,29,97,0.591,33,39,243,240,21.4,81.8,19.1,86.4,31.7,31.9,47.0,0.011904761904761904
Colorado Avalanche,20172018,43,30,95,0.579,35,41,255,236,22.0,83.3,17.6,85.9,29.7,33.3,44.2,0.023809523809523808
Tampa Bay Lightning,20182019,62,16,128,0.78,49,56,319,221,28.2,85.0,27.1,89.5,32.0,32.1,51.2,0.0
Calgary Flames,20182019,50,25,107,0.652,45,50,289,223,19.3,79.7,16.7,87.0,32.4,28.1,52.4,0.011494252873563218
Boston Bruins,20182019,49,24,107,0.652,38,47,257,212,25.9,79.9,19.9,82.8,32.7,29.5,50.7,0.1724137931034483
Washington Capitals,20182019,48,26,104,0.634,39,44,274,248,20.8,78.9,18.6,80.8,30.4,31.5,45.7,0.034482758620689655
New York Islanders,20182019,48,27,103,0.628,37,43,223,191,14.5,79.9,14.1,82.7,28.8,30.9,47.4,0.04597701149425287
San Jose Sharks,20182019,46,27,101,0.616,38,46,289,258,23.6,80.8,19.9,84.6,33.0,28.3,50.3,0.11494252873563218
Nashville Predators,20182019,47,29,100,0.61,38,43,236,212,12.9,82.1,9.8,85.3,32.7,30.0,51.5,0.022988505747126436
Toronto Maple Leafs,20182019,46,28,100,0.61,40,46,286,249,21.8,79.9,17.5,82.3,33.4,33.1,53.0,0.034482758620689655
Pittsburgh Penguins,20182019,44,26,100,0.61,37,42,271,238,24.6,79.7,18.0,85.1,33.3,33.3,50.6,0.0
Winnipeg Jets,20182019,47,30,99,0.604,38,45,270,243,24.8,79.2,22.0,83.2,31.2,33.4,50.7,0.022988505747126436
Carolina Hurricanes,20182019,46,29,99,0.604,39,44,243,221,17.8,81.6,14.6,84.9,34.4,28.6,49.0,0.09195402298850575
St. Louis Blues,20182019,45,28,99,0.604,36,42,244,220,21.1,81.5,18.1,83.6,31.8,28.6,51.4,0.1839080459770115
Columbus Blue Jackets,20182019,47,31,98,0.598,37,45,256,231,15.4,85.0,12.7,89.0,31.6,29.5,50.3,0.06896551724137931
Vegas Golden Knights,20182019,43,32,93,0.5670000000000001,36,40,246,228,16.8,80.9,15.9,85.7,34.3,29.3,50.4,0.034482758620689655
Dallas Stars,20182019,43,32,93,0.5670000000000001,36,42,209,200,21.0,82.8,20.1,84.5,30.7,31.6,51.9,0.08045977011494253
Colorado Avalanche,20182019,38,30,90,0.5489999999999999,33,36,258,244,22.0,78.7,20.3,82.0,32.6,31.9,48.1,0.08045977011494253
Dallas Stars,19971998,49,22,109,0.665,44,49,242,167,20.0,88.0,17.7,91.2,26.8,22.8,54.9,0.12195121951219512
New Jersey Devils,19971998,48,23,107,0.652,46,48,225,166,18.9,86.7,16.2,88.0,29.3,23.7,51.4,0.024390243902439025
Detroit Red Wings,19971998,44,23,103,0.628,44,44,250,196,17.6,86.4,15.8,88.6,30.9,25.8,53.2,0.1951219512195122
St. Louis Blues,19971998,45,29,98,0.598,43,45,256,204,16.9,86.7,15.8,89.9,26.9,24.1,51.0,0.07317073170731707
Pittsburgh Penguins,19971998,40,24,98,0.598,37,40,228,188,16.5,86.4,12.5,89.6,26.5,26.9,49.7,0.024390243902439025
Philadelphia Flyers,19971998,42,29,95,0.579,39,42,242,193,17.8,86.7,15.5,88.5,28.7,25.4,54.5,0.012195121951219513
Colorado Avalanche,19971998,39,26,95,0.579,37,39,231,205,17.4,87.0,14.6,89.0,27.9,29.5,47.9,0.036585365853658534
Washington Capitals,19971998,40,30,92,0.561,36,40,219,202,15.7,89.2,14.6,93.1,27.1,28.0,52.3,0.14634146341463414
Boston Bruins,19971998,39,30,91,0.555,36,39,221,194,17.3,84.6,16.4,86.3,27.2,26.4,52.0,0.024390243902439025
Buffalo Sabres,19971998,36,29,89,0.5429999999999999,33,36,211,187,12.9,84.3,9.8,87.9,26.5,31.2,47.4,0.12195121951219512
Los Angeles Kings,19971998,38,33,87,0.53,35,38,227,225,14.2,84.2,10.9,86.7,26.8,30.3,51.2,0.0
Montréal Canadiens,19971998,37,32,87,0.53,34,37,235,208,18.3,84.5,16.1,87.8,27.8,26.0,50.0,0.04878048780487805
Ottawa Senators,19971998,34,33,83,0.506,32,34,193,200,12.8,84.5,10.4,86.5,29.3,24.9,47.7,0.06097560975609756
Phoenix Coyotes,19971998,35,35,82,0.5,35,35,224,227,14.8,83.8,13.3,86.3,27.7,27.1,50.0,0.024390243902439025
Edmonton Oilers,19971998,35,37,80,0.488,32,35,215,224,15.9,83.7,13.7,86.2,28.7,28.2,46.6,0.06097560975609756
San Jose Sharks,19971998,34,38,78,0.47600000000000003,34,34,210,216,13.5,85.2,12.3,87.7,26.5,24.6,49.5,0.024390243902439025
Dallas Stars,19981999,51,19,114,0.695,48,51,236,168,18.8,86.5,17.8,88.4,27.6,24.0,53.2,0.18604651162790697
New Jersey Devils,19981999,47,24,105,0.64,44,47,248,196,19.7,85.5,18.1,87.7,31.3,24.7,50.0,0.03488372093023256
Ottawa Senators,19981999,44,23,103,0.628,43,44,239,179,14.9,86.1,11.6,88.0,30.5,25.2,48.3,0.0
Colorado Avalanche,19981999,44,28,98,0.598,42,44,239,205,18.9,83.7,15.7,85.5,28.0,27.8,50.6,0.12790697674418605
Toronto Maple Leafs,19981999,45,30,97,0.591,39,45,268,231,14.4,80.3,12.8,82.5,28.3,28.8,50.0,0.10465116279069768
Detroit Red Wings,19981999,43,32,93,0.5670000000000001,41,43,245,202,16.1,87.3,14.5,91.3,32.0,27.0,53.2,0.06976744186046512
Philadelphia Flyers,19981999,37,26,93,0.5670000000000001,35,37,231,196,16.8,84.1,15.0,85.3,29.9,22.9,55.4,0.023255813953488372
Boston Bruins,19981999,39,30,91,0.555,37,39,214,181,17.7,89.2,15.2,90.2,27.6,27.1,51.8,0.06976744186046512
Buffalo Sabres,19981999,37,28,91,0.555,34,37,207,175,13.5,86.2,11.6,87.7,26.2,30.0,48.0,0.16279069767441862
Phoenix Coyotes,19981999,39,31,90,0.5489999999999999,37,39,205,197,12.0,87.1,10.5,89.4,29.2,27.4,49.1,0.03488372093023256
Pittsburgh Penguins,19981999,38,30,90,0.5489999999999999,31,38,242,225,17.9,81.5,14.1,84.8,25.5,26.0,49.2,0.06976744186046512
St. Louis Blues,19981999,37,32,87,0.53,36,37,237,209,20.3,87.9,18.9,89.7,30.1,22.8,52.2,0.06976744186046512
Carolina Hurricanes,19981999,34,30,86,0.524,33,34,210,202,11.0,85.3,9.4,86.7,26.1,29.3,49.6,0.023255813953488372
Anaheim Ducks,19981999,35,34,83,0.506,34,35,215,206,22.0,84.5,20.1,86.0,28.4,31.7,49.0,0.0
San Jose Sharks,19981999,31,33,80,0.488,30,31,196,191,13.3,85.0,12.3,87.0,26.1,27.0,47.4,0.023255813953488372
Edmonton Oilers,19981999,33,37,78,0.47600000000000003,30,33,230,226,14.4,82.1,12.1,84.2,29.2,27.1,48.5,0.0
St. Louis Blues,19992000,51,19,114,0.695,46,51,248,165,17.8,87.8,17.0,91.6,29.8,22.1,52.1,0.03614457831325301
Detroit Red Wings,19992000,48,22,108,0.659,44,48,278,210,20.4,85.8,18.6,90.7,32.0,26.5,53.4,0.060240963855421686
Philadelphia Flyers,19992000,45,22,105,0.64,39,45,237,179,20.3,86.7,18.2,88.9,30.4,23.6,51.7,0.13253012048192772
New Jersey Devils,19992000,45,24,103,0.628,42,45,251,203,20.1,87.5,16.8,90.4,33.1,25.6,49.3,0.1927710843373494
Washington Capitals,19992000,44,24,102,0.622,39,44,227,194,15.0,86.2,13.9,88.9,27.7,27.7,53.3,0.012048192771084338
Dallas Stars,19992000,43,23,102,0.622,40,43,211,184,15.7,89.3,13.1,92.2,25.6,26.6,52.6,0.1686746987951807
Toronto Maple Leafs,19992000,45,27,100,0.61,38,45,246,222,17.8,82.4,16.2,85.8,26.4,29.1,50.8,0.07228915662650602
Florida Panthers,19992000,43,27,98,0.598,40,43,244,209,17.2,85.5,14.8,86.1,26.8,29.6,46.2,0.0
Colorado Avalanche,19992000,42,28,96,0.585,37,42,233,201,19.5,84.5,17.2,85.4,26.7,27.8,51.5,0.13253012048192772
Ottawa Senators,19992000,41,28,95,0.579,39,41,244,210,16.8,87.5,14.2,89.7,31.5,25.2,50.4,0.024096385542168676
Los Angeles Kings,19992000,39,27,94,0.573,34,39,245,228,16.9,82.3,13.5,83.4,29.5,27.9,51.8,0.0
Phoenix Coyotes,19992000,39,31,90,0.5489999999999999,35,39,232,228,11.9,86.0,9.7,90.5,27.0,28.5,50.4,0.012048192771084338
Pittsburgh Penguins,19992000,37,31,88,0.537,34,37,241,236,15.6,82.5,12.4,84.7,26.1,28.7,48.0,0.07228915662650602
Edmonton Oilers,19992000,32,26,88,0.537,28,32,226,212,15.8,85.4,14.6,87.8,28.2,28.3,51.1,0.012048192771084338
San Jose Sharks,19992000,35,30,87,0.53,31,35,225,214,16.4,83.6,15.4,87.9,27.4,28.7,49.3,0.060240963855421686
Buffalo Sabres,19992000,35,32,85,0.518,30,35,213,204,10.5,85.0,7.7,87.3,27.2,26.9,47.9,0.012048192771084338
